Timestamp,What role fits you best when you think about AWS Lambda?,Do you use AWS Lambda in production environments?,For how long have you been using AWS Lambda actively?,What kind of company do you work for on the AWS Lambda platform?,Do you use a specific framework for writing and deploying your functions?,"Do you use any of the following ""local"" testing frameworks?",What CI/CD tool do you use for deployment?,How do you monitor your functions?,What is the single most important question you look at on your monitoring dashboard?,How do you debug production code?,Do you use GitLab at work?
10/1/2019 14:13:26,Software developer,Yes,less than an year,"Young startup, less than 2 years old","No, just AWS CLI",I don't run any tests,AWS Console,primarily CloudWatch,Error rates,,No
10/1/2019 14:36:36,Software developer,Yes,between 1-3 years,"Young startup, less than 2 years old",Serverless,serverless-offline (https://github.com/dherault/serverless-offline),AWS CodePipeline,primarily IOPipe,Errors,,No
10/1/2019 15:01:14,Operations Engineer,Yes,between 1-3 years,Large corporation (+1000 employees),Terraform,docker-lambda (https://github.com/lambci/docker-lambda),Concourse,primarily DataDog,Error %,,No
10/1/2019 15:10:34,Software developer,Yes,between 1-3 years,Large corporation (+1000 employees),"No, just AWS CLI, Terraform",I run only unit tests,Jenkins,primarily CloudWatch,execution time,CloudWatch logs,No
10/1/2019 15:32:39,Operations Engineer,Yes,between 1-3 years,"Medium size business (+2 years, 101-1000 employees)","No, just AWS CLI, No, just AWS SAM, Serverless",I run only unit tests,AWS ToolKit (integrated into your IDE),primarily CloudWatch,https://lumigo.io ,aws step functions console and monitoring dashboard,No
10/1/2019 16:05:04,Software developer,Yes,more than 3 years,Hobby project,"No, just AWS CLI",I run only unit tests,I deploy manually with a CLI or scripts,primarily CloudWatch,Success/error rate,,Yes
10/1/2019 16:11:38,Operations Engineer,Yes,between 1-3 years,"Medium size business (+2 years, 101-1000 employees)",Serverless,I run only unit tests,GitLab,primarily DataDog,Recent Error count,Heavy logging and unit testing,Yes
10/1/2019 16:26:57,Software developer,Yes,between 1-3 years,"Medium size business (+2 years, 101-1000 employees)","Serverless, Terraform",I run only unit tests,Circle CI,primarily CloudWatch,Didn't really monitor too much,,Yes
10/1/2019 16:30:15,Software developer,Yes,between 1-3 years,"Medium size business (+2 years, 101-1000 employees)","Serverless, Terraform",I run only unit tests,Circle CI,primarily CloudWatch,Invocation Errors,Unit Tests,No
10/1/2019 16:38:29,Software developer,Yes,more than 3 years,"Medium size business (+2 years, 101-1000 employees)","Serverless, Terraform",localstack (https://github.com/localstack/localstack),Circle CI,"Whaat? Monitoring, are you kidding?!","Runtime, failures",Try and reproduce the error locally using an event that failed,No
